Symbol,Name,CIK,Sector,Industry,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,Dividend,EPS,EPSEorL,RevenuePerShareTTM,ProfitMargin,ProfitMarginPorN,OperatingMarginTTM,OperatingMarginTTMPorN,ReturnOnAssetsTTM,ReturnOnAssetsTTMPorN,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyEarningsGrowthYOYPorN,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
ADBE,Adobe Inc,796343,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,November,2022/2/28,1.88E+11,6521000000,39.52,1.766,29.18,0,0,NO,10.07,Earn,33.93,0.299,positive,0.367,positive,0.145,positive,0.353,16142000000,13920000000,10.07,0.019,positive,0.091,563.7,39.52,29.76,11.65,14.02,11.96,28.68,1.048,699.54,396.81,442.55,565.44,472500000
ADI,Analog Devices Inc,6281,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,October,2022/1/31,79397356000,3448052000,52.16,1.734,71.52,2.83,0.0199,YES,2.909,Earn,19.35,0.152,positive,0.237,positive,0.0345,positive,0.0518,8444121000,4525012000,2.909,-0.49,negative,0.722,204.29,52.16,18.76,9.4,2.171,10.15,30.04,1.096,190.29,141.62,159.06,168.2,523315000
ADSK,Autodesk Inc,769397,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,January,2022/1/31,39217574000,826100000,80.57,1.637,3.891,0,0,NO,2.24,Earn,19.96,0.113,positive,0.169,positive,0.0584,positive,0.548,4386400000,4021400000,2.24,-0.901,negative,0.166,285.34,80.57,27.7,8.94,47.94,9.57,54,1.442,344.39,180.19,207.32,268.77,217308000
ADTH,AdTheorent Holding Company Inc,1838672,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",December,2021/12/31,762264000,13715000,22.79,None,1.321,0,0,NO,0.39,Earn,2.733,0.159,positive,0.0316,positive,0.0193,positive,0.294,165365000,165365000,0.39,3.044,positive,0.168,10.58,22.79,81.97,4.61,6.81,4.315,17.98,None,11.9,4.106,8.69,8.85,85744000
ADV,Advantage Solutions Inc,1776661,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",December,2021/12/31,1647943000,508527000,30.41,None,7.83,0,0,NO,0.17,Earn,11.32,0.0151,positive,0.0745,positive,0.0289,positive,0.0226,3602298000,638175000,0.17,-0.603,negative,0.214,7,30.41,-,0.458,0.667,0.999,7.67,0.818,13.16,5.06,6.37,7.89,318751000
AER,AerCap Holdings N.V,1378789,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",December,2021/12/31,11531111000,2104814000,6.45,0.91,76.91,0,0,NO,7.28,Earn,32.65,0.225,positive,0.499,positive,0.0303,positive,0.101,4178366000,2524721000,7.28,-0.178,negative,-0.014,73.86,6.45,9.04,2.76,0.743,13.28,14.81,2.288,71.38,43.75,53.73,58.02,245395000
AEYE,AudioEye Inc,1362190,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,49328300,-6043775,None,0,1.539,0,0,NO,-1.293,LOSS,2.219,-0.58,negative,-0.547,negative,-0.352,negative,-1.126,24503000,18382000,-1.293,0,0,0.161,10.25,-,-,2.013,3.315,1.646,-,1.991,26.15,4.25,5.96,8.8,11471700
AFRM,Affirm Holdings Inc,1820953,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",June,2021/12/31,8985363000,None,None,None,8.72,0,0,NO,-3.317,LOSS,4.298,-0.772,negative,-0.596,negative,-0.0867,negative,-0.503,1122841000,431419000,-3.317,0,0,0.769,62.93,-,-,8,3.591,8.81,-,None,176.65,26.02,38.37,84.79,223766000
AGIL,AgileThought Inc,1790625,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,2021/12/31,245805000,5861000,None,None,1.829,0,0,NO,-16.3,LOSS,119.08,-0.137,negative,-0.0828,negative,0,0,0,151047000,50522000,-16.3,0,0,0.008,None,-,-,1.627,2.525,1.856,42.2,-0.13,23.53,3.95,4.829,7.92,50473000
AGMH,AGM Group Holdings Inc,1705402,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,December,2021/9/30,56029000,-3326114,None,None,0.155,0,0,NO,-0.019,LOSS,0.249,-0.0745,negative,-0.0633,negative,-0.062,negative,-0.15,5349500,14770,-0.019,0,0,169.69,None,-,-,10.47,16.17,10.29,-,0.854,17.14,1.38,1.875,6.15,24254800
AGYS,Agilysys Inc,78749,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,March,2021/12/31,880818000,6161000,None,-2.19,3.775,0,0,NO,-0.902,LOSS,6.32,-0.13,negative,-0.121,negative,-0.0591,negative,-0.162,152414000,89376000,-0.902,-0.909,negative,0.076,51,-,-,5.78,9.77,5.47,62.34,1.364,59.6,33.63,39.84,46.3,24714300
AI,C3.ai Inc,1577526,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,April,2022/1/31,1813642000,None,None,None,9.66,0,0,NO,-1.614,LOSS,2.379,-0.678,negative,-0.703,negative,-0.0862,negative,-0.15,232726000,138698000,-1.614,0,0,0.421,34.78,-,-,7.79,1.849,4.011,-,None,76.85,16.59,21.06,36.15,102872000
AIP,Arteris Inc. Common Stock,1667011,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021/12/31,436839000,None,None,None,1.678,0,0,NO,-1.064,LOSS,1.723,-0.618,negative,-0.575,negative,-0.167,negative,-1.003,37864000,34133000,-1.064,0,0,-0.209,27.6,-,-,11.54,8.6,9.86,-,None,27.57,11.18,14.07,17.6,31609200
AIRG,Airgain Inc,1272842,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,December,2021/12/31,83843000,4785400,None,0.762,4.375,0,0,NO,-1.01,LOSS,6.42,-0.157,negative,-0.157,negative,-0.104,negative,-0.22,64273000,24607000,-1.01,-0.999,negative,0.102,15,-,26.67,1.304,1.822,1.074,157.07,1.129,24.48,6.79,8.18,11.26,10187500
AL,Air Lease Corporation,1487712,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",December,2021/12/31,4669357000,1872506000,11.45,0.91,61.48,0.69,0.0178,YES,3.57,Earn,18.31,0.209,positive,0.505,positive,0.0253,positive,0.0668,2088389000,1205827000,3.57,0.34,positive,0.221,55,11.45,9.33,2.236,0.723,10.06,14.25,1.97,50.54,33.26,42.14,42.1,114249000
ALF,Alfi Inc,1833908,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",December,2021/6/30,24099700,None,None,None,1.641,0,0,NO,-2.062,LOSS,0.003,0,0,-618.16,negative,0,0,0,18390,-331110,-2.062,0,0,0,None,-,-,1310.76,0.928,1775.05,-,None,22.5,1.37,1.69,4.516,16174300
ALFIW,Alfi Inc,1833908,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",December,2021/6/30,201266000,None,None,None,None,None,None,None,None,None,0,0,0,0,0,-0.422,negative,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,16.34,0.29,0,0,0
ALGM,Allegro MicroSystems Inc,866291,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,March,2021/12/31,4666290000,234690000,44.41,None,3.66,0,0,NO,0.538,Earn,3.921,0.138,positive,0.251,positive,0.149,positive,0.161,743489000,294316000,0.538,-0.823,negative,0.135,39,44.41,24.15,6.28,6.58,5.86,24.36,None,38.28,22.05,26.87,29.87,189914000
ALIT,Alight Inc,1809104,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,2021/12/31,5416934000,452000000,135.61,None,8.92,0,0,NO,0.066,Earn,5.46,0.0121,positive,0.0541,positive,0.0087,positive,0.0024,1554000000,553000000,0.066,0,0,0,15.33,135.61,15.34,3.486,1.153,2.734,15.96,0.707,13.34,8.39,9.55,10.33,465225000
ALKT,Alkami Technology Inc,1529274,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,1131775000,None,None,None,3.831,0,0,NO,-0.73,LOSS,2.359,-0.308,negative,-0.262,negative,-0.0728,negative,-0.179,152159000,83807000,-0.73,0,0,0.273,25.2,-,-,7.44,3.114,5.19,-,None,48.17,11.6,13.94,22.2,90470000
ALOT,AstroNova Inc,8146,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC",January,2022/1/31,92996000,7012000,11.56,0,11.36,0,0,NO,1.1,Earn,16.34,0.0685,positive,0.0216,positive,0.0138,positive,0.103,117218000,41360000,1.1,2279.28,positive,0.03,26,11.56,-,0.793,1.177,0.854,8.57,0.721,18.52,11.8,14.41,15.07,7315200
ALRM,Alarm.com Holdings Inc,1459200,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,3084626000,99645000,60.98,1.612,12.2,0,0,NO,1.01,Earn,15.02,0.0698,positive,0.0989,positive,0.0472,positive,0.0927,748969000,443070000,1.01,-0.425,negative,0.179,90,60.98,32.26,4.12,4.938,3.719,29.96,1.22,94.45,57.88,65.23,76.83,50087000
ALTG,Alta Equipment Group Inc,1759824,TRADE & SERVICES,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,December,2021/12/31,367001000,83000000,None,None,4.199,0,0,NO,-0.811,LOSS,36.72,-0.0205,negative,0.008,positive,0.0077,positive,-0.186,1136900000,214500000,-0.811,0,0,0.337,20.33,-,-,0.323,2.758,0.865,10.22,1.799,17.38,11.27,12.32,13.53,32363400
ALTR,Altair Engineering Inc,1701732,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,4276484000,43036000,None,0,7.74,0,0,NO,-0.12,LOSS,6.99,-0.0165,negative,0.0327,positive,0.0109,positive,-0.0177,532179000,403538000,-0.12,1.25,positive,0.055,84.17,-,71.94,8.04,7.2,7.96,113.22,1.516,82.96,53.44,61.74,68.95,51907000
AMBA,Ambarella Inc,1280263,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,January,2022/1/31,3097373000,-48342000,None,3.337,14.67,0,0,NO,-0.722,LOSS,9.07,-0.0796,negative,-0.0779,negative,-0.0263,negative,-0.0517,331856000,209035000,-0.722,0,0,0.452,166.19,-,50,9.33,5.82,9.11,-,1.19,227.59,79.11,101.22,139.7,38065300
AMD,Advanced Micro Devices Inc,2488,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021/12/31,1.38E+11,4055000000,33.04,1.122,6.21,0,0,NO,2.57,Earn,13.55,0.192,positive,0.222,positive,0.213,positive,0.474,16434000000,7929000000,2.57,-0.454,negative,0.488,145.88,33.04,21.74,8.41,19.13,8.55,33.72,1.805,164.46,72.5,107.69,117.76,1627360000
AMKR,Amkor Technology Inc,1047127,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021/12/31,4621341000,1330520000,7.04,1.87,12.04,0.17,0.0108,YES,2.62,Earn,25.17,0.105,positive,0.125,positive,0.0867,positive,0.242,6138329000,1225554000,2.62,0.683,positive,0.258,21.5,7.04,6.86,0.753,1.601,0.806,3.722,1.508,29.37,17.9,21.51,23.49,244774000
AMPL,Amplitude Inc. Class A Common Stock,1866692,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,1953778000,None,None,None,2.785,0,0,NO,-1.46,LOSS,3.257,-0.448,negative,-0.443,negative,-0.161,negative,-0.351,167261000,115497000,-1.46,0,0,0.643,35,-,-,11.68,6.76,10.55,-,None,87.98,15.17,19.88,43.71,59028000
AMST,Amesite Inc,1807166,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,June,2021/12/31,16988200,None,None,None,0.42,0,0,NO,-0.422,LOSS,0.037,0,0,-11.33,negative,-0.425,negative,-0.727,787520,674580,-0.422,0,0,0.771,7,-,-,21.57,1.842,11.74,-,None,4.5,0.413,0.604,1.307,25739700
AMSWA,American Software Inc,713425,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,April,2022/1/31,579875000,10523000,48,2.19,3.902,0.44,0.024,YES,0.36,Earn,3.663,0.101,positive,0.0791,positive,0.034,positive,0.0975,121470000,60980000,0.36,0.254,positive,0.171,29.33,48,-,4.774,4.705,4.134,36,0.731,32.98,17.22,20.37,23.57,31736100
AMWL,American Well Corporation,1393584,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",December,2021/12/31,913704000,None,None,None,4.732,0,0,NO,-0.694,LOSS,0.995,-0.698,negative,-0.739,negative,-0.0827,negative,-0.141,252789000,104315000,-0.694,0,0,0.204,5.71,-,-,3.615,0.71,0.592,-,None,16.15,3.02,3.837,7.08,230369000
ANET,Arista Networks Inc,1596532,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,December,2021/12/31,35413250000,975073000,43.82,1.732,12.93,0,0,NO,2.63,Earn,9.62,0.285,positive,0.314,positive,0.11,positive,0.23,2948037000,1880779000,2.63,0.284,positive,0.271,151.18,43.82,32.57,12.01,9.12,11.17,33.77,1.223,148.57,75.65,127.16,114.39,307300000
ANGI,Angi Inc,1705110,TRADE & SERVICES,SERVICES-ADVERTISING,December,2021/12/31,2332566000,24115000,None,0,2.258,0,0,NO,-0.142,LOSS,3.352,-0.0424,negative,-0.0454,negative,-0.0218,negative,-0.0574,1685438000,1359904000,-0.142,-0.747,negative,0.157,11.23,-,5000,1.384,2.091,1.457,150.13,1.758,16.54,4.59,5.99,9.4,79607000
ANSS,ANSYS Inc,1013462,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,23447441000,626179000,52.22,3.299,51.49,0,0,NO,5.16,Earn,21.89,0.238,positive,0.272,positive,0.0529,positive,0.106,1906715000,1709493000,5.16,-0.067,negative,0.051,344.6,52.22,35.21,12.3,5.37,12.72,38.22,1.258,413.89,258,306.33,352.58,87026000
AOSL,Alpha and Omega Semiconductor Limited,1387467,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,June,2021/12/31,1114767000,144981000,2.63,-8.49,29.73,0,0,NO,15.87,Earn,27.67,0.608,positive,0.128,positive,0.0591,positive,0.696,726875000,204543000,15.87,27.81,positive,0.217,61,2.63,8.73,1.534,1.46,1.288,1.744,2.467,69.99,23.66,51.53,41.83,26707400
APCX,AppTech Payments Corp. Common Stock,1070050,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,27464800,None,None,0,0.079,0,0,NO,-7.17,LOSS,0.032,0,0,-21.63,negative,-1.198,negative,0,346820,189130,-7.17,0,0,-0.123,None,-,-,79.19,609.3,81.67,-,1.206,3.15,0.77,1.429,1.458,16348100
APP,AppLovin Corporation,1751008,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",December,2021/12/31,14161162000,597736000,405.16,1.372,5.7,0,0,NO,0.093,Earn,8.6,0.0127,positive,0.0597,positive,0.0251,positive,0.0357,2793104000,1805009000,0.093,0,0,0.556,92.79,405.16,27.47,5.07,7.24,6.19,29.8,None,116.09,36.6,52.39,72.89,297164000
APPF,AppFolio Inc,1433195,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,3713944000,17154000,3553.33,5.3,8.54,0,0,NO,0.03,Earn,10.39,0.0029,positive,-0.0383,negative,-0.0216,negative,0.0035,359370000,215426000,0.03,-0.892,negative,0.32,124,3553.33,-,10.33,12.76,10.37,183.1,1.014,150.78,102.86,113.36,122.56,20003700
APPN,Appian Corporation,1441683,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,3452756000,-51902000,None,0,3.273,0,0,NO,-1.248,LOSS,5.2,-0.24,negative,-0.227,negative,-0.103,negative,-0.334,369259000,265166000,-1.248,0,0,0.286,58,-,-,9.35,15.32,9.43,-,1.689,149.82,46.85,56.52,79.6,40735600
APPS,Digital Turbine Inc,317788,REAL ESTATE & CONSTRUCTION,PATENT OWNERS & LESSORS,March,2021/12/31,3197780000,141320000,73.45,0.307,4.999,0,0,NO,0.449,Earn,10.64,0.0458,positive,0.102,positive,0.0745,positive,0.152,993389000,132572000,0.449,-0.533,negative,3.238,90,73.45,15.36,3.219,6.55,3.428,27.51,2.22,93.98,30.61,41.46,56.48,96961000
ARRY,Array Technologies Inc,1820721,MANUFACTURING,MISCELLANEOUS MANUFACTURING INDUSTRIES,December,2022/3/31,1012173000,38230000,None,1.934,0.054,0,0,NO,-0.297,LOSS,6.43,-0.0395,negative,0.0145,positive,0.0112,positive,-0.105,821362000,202801000,-0.297,-0.967,negative,0.377,18.6,-,11.25,1.232,12.48,1.893,5384.13,None,29.15,6.6,10.26,15.23,150174000
ARW,Arrow Electronics Inc,7536,TRADE & SERVICES,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC",December,2021/12/31,7582027000,1755440000,7.49,0.882,77.61,0,0,NO,15.1,Earn,475.73,0.0321,positive,0.0453,positive,0.0533,positive,0.212,34477019000,4202365000,15.1,0.708,positive,0.066,141.14,7.49,5.66,0.22,1.433,0.289,5.66,1.465,137.95,107.11,118.82,120.68,67026000
ASAN,Asana Inc,1477720,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,January,2022/1/31,5207520000,None,None,None,1.083,0,0,NO,-1.635,LOSS,2.145,-0.762,negative,-0.701,negative,-0.231,negative,-3.018,378437000,339540000,-1.635,0,0,0.637,57.67,-,-,13.76,26.99,14.39,-,None,145.79,26,42.56,76.94,103669000
ASGN,ASGN Incorporated,890564,TRADE & SERVICES,SERVICES-HELP SUPPLY SERVICES,December,2021/12/31,5687146000,440500000,14.46,2.02,36.01,0,0,NO,7.66,Earn,76.08,0.102,positive,0.0875,positive,0.0647,positive,0.134,4009500000,1142400000,7.66,0.558,positive,0.17,129.67,14.46,20.41,1.418,3.216,1.638,14.91,2.008,131.89,91.61,112.24,114.51,51337000
ASML,ASML Holding N.V.,937966,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",December,2022/3/31,2.26E+11,6993900000,36.15,2.542,25.19,5.5,0.0105,YES,15.5,Earn,45.41,0.316,positive,0.351,positive,0.142,positive,0.49,18610999000,9809000000,15.5,0.358,positive,0.172,817.17,36.15,33.78,12.12,25.59,13.97,38.39,0.975,893.62,544,636.3,741.79,402602000
ASUR,Asure Software Inc,884144,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,December,2021/12/31,121429000,3434000,37.81,4.794,7.9,0,0,NO,0.16,Earn,3.938,0.042,positive,-0.168,negative,-0.0169,negative,0.021,76064000,46564000,0.16,0,0,0.285,12.92,37.81,67.11,1.596,0.765,1.958,6.24,1.057,9.94,5.5,6.47,7.98,20070900
ASX,ASE Technology Holding Co. Ltd,1122411,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021/12/31,13420747000,1.14E+11,6.38,1.38,121.46,0,0.0452,NO,0.982,Earn,264.79,0.112,positive,0.109,positive,0.0618,positive,0.259,5.70E+11,1.10E+11,0.982,2.034,positive,0.162,8.37,6.38,7.48,0.0235,1.641,0.0336,0.139,1.187,9.37,6.2,7.11,7.7,2140470000
ASYS,Amtech Systems Inc,720500,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",September,2021/12/31,125851000,5500000,71.76,2.84,6.01,0,0,NO,0.125,Earn,6.64,0.0189,positive,0.0423,positive,0.0222,positive,0.0213,94559000,34530000,0.125,0.399,positive,0.52,17,71.76,23.81,1.331,1.586,1.217,21.25,1.419,15.78,7.81,10,10.43,14030200
ATEN,A10 Networks Inc,1580808,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,December,2021/12/31,1097377000,42295000,12.18,-10.86,2.698,0.05,0.0134,YES,1.19,Earn,3.245,0.38,positive,0.134,positive,0.061,positive,0.584,250042000,196537000,1.19,0.366,positive,0.128,19.67,12.18,21.05,4.389,5.24,3.727,22.03,1.036,18.92,8.36,13.68,14.13,75733000
ATKR,Atkore Inc,1666138,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",September,2021/12/31,4171617000,1029312000,6.3,1.39,20.77,0,0,NO,14.76,Earn,70.31,0.217,positive,0.291,positive,0.306,positive,1.026,3257733000,1125613000,14.76,1.469,positive,0.645,124,6.3,7.23,1.28,4.614,1.428,4.408,2.359,119.96,65.8,99.98,96.89,44856100
ATOM,Atomera Incorporated,1420520,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021/12/31,245109000,-14079000,None,0,1.223,0,0,NO,-0.699,LOSS,0.018,0,0,-38.82,negative,-0.257,negative,-0.478,400000,400000,-0.699,0,0,5.45,22,-,-,612.77,8.37,538.78,-,1.459,33.13,9.22,13.22,19.32,23393200
ATVI,Activision Blizzard Inc,718877,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2022/3/31,59303285000,3452000000,22.12,5.8,22.59,0.47,0.0061,YES,3.44,Earn,11.33,0.307,positive,0.379,positive,0.0866,positive,0.165,8803000000,6486000000,3.44,0.109,positive,-0.103,94.19,22.12,21.46,6.74,3.411,6.44,18.09,0.546,98.87,56.07,79.96,76.15,779281000
AUGX,Augmedix Inc. Common Stock,1769804,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,2021/12/31,100964000,None,None,None,0.633,0,0,NO,-0.617,LOSS,0.767,-0.805,negative,-0.809,negative,-0.282,negative,-1.332,22165000,10007000,-0.617,0,0,0.448,6.13,-,-,4.555,4.01,3.093,-,None,6.22,2,2.666,3.79,37394200
AUID,Ipsidy Inc. Common Stock,1534154,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021/12/31,80337000,None,None,None,0.468,0,0,NO,-0.828,LOSS,0.107,0,0,-7.51,negative,-0.777,negative,-2.283,2292300,1631500,-0.828,0,0,0.171,None,-,-,35.05,7.87,35.1,-,2.488,18.64,2.76,4.042,9.88,24643200
